"ID","COUNTRY"",""REGION"",""NUMBERCONFLICT"",""FATALITIES"""
"1,""Algeria"",""Northern Africa"",""9936"",13690"
"9937,""Angola"",""Middle Africa"",""3414"",143816"
"13351,""Benin"",""Western Africa"",""298"",158"
"13649,""Botswana"",""Southern Africa"",""77"",10"
"13726,""Burundi"",""Eastern Africa"",""8984"",23507"
"22710,""Cameroon"",""Middle Africa"",""4165"",9161"
"26875,""Central African Republic"",""Middle Africa"",""5189"",14276"
"32064,""Chad"",""Middle Africa"",""1120"",8581"
"33184,""Democratic Republic of Congo"",""Middle Africa"",""19271"",62512"
"52455,""Djibouti"",""Eastern Africa"",""160"",88"
"52615,""Equatorial Guinea"",""Middle Africa"",""69"",43"
"52684,""Eritrea"",""Eastern Africa"",""412"",54415"
"53096,""Ethiopia"",""Eastern Africa"",""5720"",47816"
"58816,""Gabon"",""Middle Africa"",""257"",36"
"59073,""Gambia"",""Western Africa"",""241"",147"
"59314,""Ghana"",""Western Africa"",""1164"",652"
"60478,""Guinea"",""Western Africa"",""1877"",3382"
"62355,""Ivory Coast"",""Western Africa"",""2405"",4129"
"64760,""Kenya"",""Eastern Africa"",""316"",1103"
"65076,""Republic of Congo"",""Middle Africa"",""460"",639"
